,Name,Location,Mealtime,Date,Filters,Description,Serving_Size,Calories,Fat,Carbohydrates,Protein,Allergens,Ingredients
211,Hard Boiled Eggs,Fresh Inspirations,Breakfast,"Wednesday, February 02, 2022","['Vegetarian', 'Halal', 'Nourish']","Cage-free, hard boiled eggs",1 each,71.5,4.76,0.36,6.28,Egg,Cage free eggs
212,Mini Poppy Seed Bagel,Harvest Bakery,Breakfast,"Wednesday, February 02, 2022","['Vegan', 'Halal']","Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,390,4,74,14,Gluten/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn, malted barley), salt, enzyme, yeast, white distilled vinegar, poppy seeds. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
213,Cranberry Orange Muffin,Harvest Bakery,Breakfast,"Wednesday, February 02, 2022","['Vegetarian', 'Halal']","Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,350.01,18,42,4,Dairy/Egg/Gluten/Soy/Soybean Oil/Wheat,"Sugar, enriched bleached wheat flour, modified food starch, soybean oil, dry whey, sodium aluminum phosphate, baking soda, salt, vital wheat gluten, propylene glycol mono and diglycerides, sodium stearoyl lactylate, dextrose, corn starch, tricalcium phosphate, soya flour, dry whole eggs, natural and artificial flavor, water, ascorbic acid, alpha tocopherol, citric acid, cranberries, eggs, soybean oil, water, potassium sorbate, orange color (water, high fructose corn syrup, glycerin, FD&C yellow 6, sugar, modified food starch, carrageenan, potassium sorbate, sodium benzoate, citric acid, xanthan gum). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
214,Old Fashioned Glazed Donut,Harvest Bakery,Breakfast,"Wednesday, February 02, 2022",[],Produced by Fluffy Donuts (L),1 EA,-1,-1,-1,-1,,
215,Vegan Chocolate Donut,Harvest Bakery,Breakfast,"Wednesday, February 02, 2022",['Vegan'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",each,380,22,43,4,Alcohol [vanilla extract]/Gluten/Soy/Soybean Oil/Wheat,"Donut ingredients: Unbleached enriched wheat flour (wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid), sugar, soybean oil, defatted soy flour, leavening, isolated soy protein, dextrose, wheat starch, salt, natural flavor, cellulose gum, emulsifier, spice, beta carotene, water, palm oil. Icing ingredients: Powdered sugar, chocolate (unsweetened chocolate, potassium carbonate, sugar, cocoa butter, soya lecithin), corn syrup, vanilla extract, water. Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
216,Turkey Champignon,Go Live,Lunch,"Wednesday, February 02, 2022",[],"Turkey thigh, green beans, and mushrooms in a creamy Alfredo sauce. Served over egg noodles",plate,425.15,19.88,43.04,19.89,Mushroom/Alcohol/Egg/Gluten/Wheat/Dairy/Soy,"Egg noodles (contains wheat/gluten and egg), turkey thigh, mushrooms, green beans, house cream of mushroom soup (reduced fat milk, mushroom, yellow onion, celery, vegetable soup base [contains mushroom], unbleached flour, corn starch, canola oil, Sherry cooking wine, garlic, iodized salt, tarragon, Tabasco hot sauce, parsley flakes, ground white pepper), house Alfredo sauce (reduced fat milk, white cream sauce base [contains dairy and soy], Parmesan cheese, gluten-free vegetable soup base [contains mushroom], garlic powder, ground black pepper), white cooking wine, fresh Italian parsley, canola oil"
217,Garlic Breadsticks,Go Live,Lunch,"Wednesday, February 02, 2022","['Vegetarian', 'Halal']",Golden brown breadsticks coated with a garlic herb oil and Parmesan cheese.,1 breadstick,100,3.5,15,3,Dairy/Gluten/Soy/Wheat,"Breadstick (enriched flour, water, palm oil, sugar. Contains 2% or less of: salt, yeast, wheat gluten, dextrose, guar gum, ethoxylated mono- and diglycerides, wheat starch, datem, defatted soy flour, enzymes, monoglyceride, ascorbic acid, azodicarbonamide, calcium peroxide). Prepared with canola oil garlic spread (natural oil blend [soybean, palm fruit, palm kernel and/or canola], garlic, water, sweet cream, buttermilk, salt. Contains 2% or less of: spice, soy lecithin, mono- and diglycerides, onion powder, potassium sorbate and sodium benzoate, citric acid, natural and artificial flavor, vitamin A palmitate, beta carotene, lactic acid)"
218,Ratatouille,Pacific Fusion,Lunch,"Wednesday, February 02, 2022","['Vegan', 'Halal', 'Nourish']","A colorful blend of zucchini, squash, tomatoes, and peppers sauteed with onions, garlic, and fresh basil.",1 Serving,54.08,2,8.57,1.75,No Major Allergens,"Zucchini, yellow squash, tomato, yellow onion, red bell pepper, fresh basil, extra virgin olive oil, kosher salt, garlic, crushed red pepper, whole fennel seed"
219,Make-Your-Own Mongolian BBQ,Pacific Fusion,Lunch,"Wednesday, February 02, 2022",['Halal'],"Mongolian stir-fry with choice of protein, noodles and vegetables",plate,-1,-1,-1,-1,All major allergens,[Placeholder] - all major allergens;
220,Cheeseburger,Tomato Street Grill,Lunch,"Wednesday, February 02, 2022",['Halal'],"Local Harris Ranch ground beef and mushroom patty, grilled and served on a bun with melted American cheese.",burger,495.67,32.33,29.86,28.01,Dairy/Soy/Gluten/Sesame/Soybean Oil/Wheat/Mushroom,"Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)"
221,Buffalo Chickpea Burger,Tomato Street Grill,Lunch,"Wednesday, February 02, 2022","['Vegan', 'Halal']",House-made buffalo chickpea patty on a bun,1 burger,773,19,130,26,"Gluten, Sesame, Soybean Oil, Wheat",
222,Shoestring Fries,Tomato Street Grill,Lunch,"Wednesday, February 02, 2022","['Vegan', 'Halal']",Crispy deep-fried thin cut potato fries,3 oz,201.6,12,21.13,1.84,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Shoestring fries (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], modified food starch. Contains less than 2% of dextrose, leavening [sodium acid pyrophosphate, sodium bicarbonate], rice flour, salt, xanthan gum, disodium, dihydrogen pyrophosphate), canola fryer oil, seasoned salt (salt, onion powder, granulated garlic, ground paprika, sugar, white ground pepper)"
223,Chicken Ranch Pizza,Saucey,Dinner,"Wednesday, February 02, 2022",['Halal'],"Topped with our house Ranch dressing, halal chicken, bell peppers, onions, and cheese",1 slice,253.85,11.04,28.61,9.48,Dairy/Egg/Soybean Oil/Gluten/Soy/Wheat,"Pizza dough (contains wheat/gluten, soy, sesame, dairy, and egg), whole milk Mozzarella cheese, halal chicken breast, house ranch dressing (mayonnaise [contains egg and soybean oil], buttermilk, Ranch dressing dry mix [maltodextrin, salt, onion powder, garlic powder, hydrolyzed corn protein, parsley, guar gum, xanthan gum, dehydrated onion, white pepper, silicon dioxide, natural flavoring, yeast extract, disodium inosinate, disodium guanylate]), red onion, green bell pepper, garlic, canola oil, Italian seasoning, kosher salt, ground black pepper, garlic powder"
224,Arroz Caldo,Fresh Inspirations,Lunch,"Wednesday, February 02, 2022",['Nourish'],A chicken and rice porridge soup,1 cup,136.39,2.98,17.68,9.65,Fish,"Halal chicken thighs, Calrose white rice, yellow onion, gluten free chicken soup base (chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor), ginger, canola oil, garlic, fish sauce (anchovy extract, water, salt, fructose, hydrolyzed vegetable protein), ground white pepper, Spanish saffron, lime juice, green onions, iodized salt"
225,Kale and White Bean Soup,Fresh Inspirations,Lunch,"Wednesday, February 02, 2022","['Vegan', 'Halal', 'Nourish']","Kale and white beans simmered in vegetable broth with tomatoes, garlic, onion, and Italian herbs",1 cup,61.84,0.06,10.31,2.08,Mushroom,"White beans, tomato, kale, gluten-free vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), yellow onion, garlic, canola/olive oil blend, cornstarch, kosher salt, Italian seasoning"
226,Red Skin Potato Salad with Eggs,Fresh Inspirations,Lunch,"Wednesday, February 02, 2022","['Vegetarian', 'Halal']",, 1/2 cup,230.01,13.01,24,3,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
227,Classic California Pasta Salad,Fresh Inspirations,Lunch,"Wednesday, February 02, 2022","['Vegan', 'Halal']",,1 serving,140,4,22,4,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
228,Caesar Salad,Fresh Inspirations,Lunch,"Wednesday, February 02, 2022",['Halal'],"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",1 SV,501.86,41.48,23.93,15.54,Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
229,Deli Bar,Fresh Inspirations,Lunch,"Wednesday, February 02, 2022",[],"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",1 EA,-1,-1,-1,-1,,
230,Chocolate Swirl Cheesecake Bars,Fresh Inspirations,Lunch,"Wednesday, February 02, 2022",['Vegetarian'],"Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish",1 SV,312,20.8,26.4,4,Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Wheat,"Cream cheese (pasteurized cultured milk and cream, salt, stabilizer), pure cane sugar, eggs, sour cream (cultured cream. Contains less than 2% of whey, modified corn starch, sodium tripolyphosphate, guar gum, carrageenan, calcium sulfate, locust bean gum, potassium sorbate), vanilla extract, crumbs (graham cracker flour, enriched wheat flour, sugar, corn flour, palm oil, corn syrup, molasses, whey, honey, leavening, salt, artificial color, natural flavor, soy lecithin), butter, sugar, heavy cream, unsweetened chocolate. Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish"
231,Vegan Oatmeal Raisin Cookie,Fresh Inspirations,Lunch,"Wednesday, February 02, 2022",['Vegan'],,1 cookie,177,6.1,41,3,Alcohol [vanilla extract]/Gluten/Wheat,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda"
232,Cajun Shrimp and Bacon,Pacific Fusion,Dinner,"Wednesday, February 02, 2022",[],Cajun spiced shrimp sauteed with bacon and butter,3.5 oz,209.19,18.16,1.18,11.17,Dairy/Soybean Oil/Shellfish,"Shrimp, bacon, unsalted butter, Asian chili oil (soybean oil, chili), Cajun seasoning (garlic, paprika, oregano, red pepper, salt, onion), crushed red pepper, lemon juice"
233,Creamy Polenta,Pacific Fusion,Dinner,"Wednesday, February 02, 2022","['Vegetarian', 'Halal']",Cornmeal made with heavy cream and sprinkled with Parmesan cheese,1/2 cup,174.91,12.97,7.51,4.55,Dairy,"Heavy whipping cream (heavy cream. Contains less than 1% of carrageenan), Parmesan cheese (pasteurized milk, cheese cultures, salt, enzymes), yellow cornmeal (polenta), gluten-free vegetable soup base (vegetables [onions, celery, carrots], maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika), iodized salt"
234,Chicken Parmigiana,Go Live,Dinner,"Wednesday, February 02, 2022",[],"Classic Italian-American dish of cheesy chicken smothered in roasted tomato sauce, served over pasta with parmesan & parsley.",1 SV,741.48,43.96,57.56,34.5,Dairy/*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Wheat,"House roasted tomato sauce (Roma tomatoes, pear tomatoes, extra virgin olive oil, canola/olive oil blend, garlic, iodized salt, fresh basil, beet sugar), linguine pasta (contains wheat/gluten, prepared in canola oil), breaded chicken thighs (contains wheat/gluten), Mozzarella cheese, Parmesan cheese, fresh Italian parsley, canola oil"
235,Ratatouille,Pacific Fusion,Dinner,"Wednesday, February 02, 2022","['Vegan', 'Halal', 'Nourish']","A colorful blend of zucchini, squash, tomatoes, and peppers sauteed with onions, garlic, and fresh basil.",1 Serving,54.08,2,8.57,1.75,No Major Allergens,"Zucchini, yellow squash, tomato, yellow onion, red bell pepper, fresh basil, extra virgin olive oil, kosher salt, garlic, crushed red pepper, whole fennel seed"
236,Green Chili Pork,Bistro,Dinner,"Wednesday, February 02, 2022",['Nourish'],"Pork smothered in a grilled tomatillo, onion, and Jalapeno salsa", 4 oz,82.1,4.17,2.71,11.67,No Major Allergens,"Pork, yellow onion, tomatillos, green Jalapeno peppers, fresh cilantro, canola/olive oil blend, Mexican oregano, kosher salt, garlic"
237,Mexican Rice,Bistro,Dinner,"Wednesday, February 02, 2022","['Vegan', 'Halal']","Long grain rice cooked with tomatoes, onions, carrots, corn, and peppers.",1/2 cup (3.5 oz),94.82,2.44,16.45,1.49,No Major Allergens,"Gluten-free vegetable broth (vegetables [onions, celery, carrots], maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika), long grain white rice, tomato, yellow onion, carrot, corn, green bell pepper, canola oil, Achiote paste (Annatto seeds, vinegar, salt, water, granulated garlic, spices, sodium benzoate, corn meal, corn flour, FD&C #40), celery, garlic powder, iodized salt, ground black pepper"
238,Corn Tortillas,Bistro,Dinner,"Wednesday, February 02, 2022","['Vegan', 'Halal']",,2 tortillas,90,1,19,2,No Major Allergens,"Water, stone ground corn masa flour, stone ground fresh corn. Contains less than 2% of cellulose gum, fumaric acid, potassium sorbate, calcium propionate, propionic acid, phosphoric acid, guar gum, sorbic acid, trace of lime"
239,Curried Lentils / Roasted Harvest Salad,Bistro,Dinner,"Wednesday, February 02, 2022","['Vegan', 'Halal']","Lentils: Brown savory lentils simmered with onions, carrots, celery, and curry powder. ",1/2 cup,117,3,17,7,No Major Allergens,
240,Roasted Whole Sweet Peppers,Bistro,Dinner,"Wednesday, February 02, 2022","['Vegan', 'Nourish']",Mix of yellow and red peppers made with balsamic vinegar and canola olive oil,1/2 cup,155,15,7,1,No Major Allergens,
241,Roasted Butternut Squash,Bistro,Dinner,"Wednesday, February 02, 2022","['Vegan', 'Halal', 'Nourish']",Butternut squash lightly seasoned and roasted,3 oz,66,4,9,1,No Major Allergens,
242,Cheeseburger,Tomato Street Grill,Dinner,"Wednesday, February 02, 2022",['Halal'],"Local Harris Ranch ground beef and mushroom patty, grilled and served on a sesame bun with melted American cheese.",burger,495.67,32.33,29.86,28.01,Dairy/Soy/Gluten/Sesame/Soybean Oil/Wheat/Mushroom,"Halal ground beef and mushroom patty (ground beef, mushrooms, expeller pressed canola oil, black pepper, salt), sesame bun (enriched unbleached wheat flour [wheat flour, malted barley flour, niacin, iron, thiamin mononitrate, riboflavin, folic acid], water, high fructose corn syrup, yeast, vegetable oil [canola and/or soy]. Contains 2% or less of vital wheat gluten, salt, ammonium sulfate, mono-diglycerides, sodium stearoyl lactylate, ascorbic acid, monocalcium phosphate, azodicarbonamide, calcium sulfate, enzymes, calcium propionate, sesame seeds), American cheese (milk, cream, water, sodium citrate, salt, cheese culture, sorbic acid, citric acid, enzymes, soy lecithin, apo carotenal, beta carotene)"
243,Buffalo Chickpea Burger,Tomato Street Grill,Dinner,"Wednesday, February 02, 2022","['Vegan', 'Halal']",House-made buffalo chickpea patty on a sesame bun,1 burger,773,19,130,26,"Gluten, Sesame, Soybean Oil, Wheat",
244,Curly Fries,Tomato Street Grill,Dinner,"Wednesday, February 02, 2022","['Vegan', 'Halal']",,N/A,N/A,N/A,N/A,N/A,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free/Gluten/Wheat,
245,Arroz Caldo,Fresh Inspirations,Dinner,"Wednesday, February 02, 2022",['Nourish'],A chicken and rice porridge soup,1 cup,136.39,2.98,17.68,9.65,Fish,"Halal chicken thighs, Calrose white rice, yellow onion, gluten free chicken soup base (chicken broth, salt, sugar, yeast extract, chicken fat, modified corn starch, citric acid, natural flavor), ginger, canola oil, garlic, fish sauce (anchovy extract, water, salt, fructose, hydrolyzed vegetable protein), ground white pepper, Spanish saffron, lime juice, green onions, iodized salt"
246,Kale and White Bean Soup,Fresh Inspirations,Dinner,"Wednesday, February 02, 2022","['Vegan', 'Halal', 'Nourish']","Kale and white beans simmered in vegetable broth with tomatoes, garlic, onion, and Italian herbs",1 cup,61.84,0.06,10.31,2.08,Mushroom,"White beans, tomato, kale, gluten-free vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), yellow onion, garlic, canola/olive oil blend, cornstarch, kosher salt, Italian seasoning"
247,Harvest Salad,Fresh Inspirations,Dinner,"Wednesday, February 02, 2022",[],,N/A,N/A,N/A,N/A,N/A,No Major Allergens,
248,Classic Macaroni Salad,Fresh Inspirations,Dinner,"Wednesday, February 02, 2022",[],,N/A,N/A,N/A,N/A,N/A,"Egg, Gluten, Wheat, Soybean Oil",
249,Classic Coleslaw,Fresh Inspirations,Dinner,"Wednesday, February 02, 2022",[],,N/A,N/A,N/A,N/A,N/A,"Dairy, Egg, Soy, Soybean Oil",
250,Shrimp,Fresh Inspirations,Dinner,"Wednesday, February 02, 2022",[],,N/A,N/A,N/A,N/A,N/A,Shellfish,
251,Oatmeal Cookie,Harvest Bakery,Dinner,"Wednesday, February 02, 2022",['Vegetarian'],"Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",1 EA,360,14,52,6,Alcohol [vanilla extract]/Egg/Gluten/Soybean Oil/Wheat,"Oats, brown sugar, margarine (palm oil, water, soybean oil, salt, mono- and diglycerides, annatto, calcium disodium EDTA, vitamin A palmitate), sugar, raisins, enriched bleached flour (wheat flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid, enzyme), eggs, cinnamon, baking soda, vanilla extract, baking powder (sodium acid pyrophosphate, sodium bicarbonate, corn starch, monocalcium phosphate). Produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
252,Chocolate Swirl Cheesecake Bars,Harvest Bakery,Dinner,"Wednesday, February 02, 2022",['Vegetarian'],"Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish",1 SV,312,20.8,26.4,4,Alcohol [vanilla extract]/Dairy/Egg/Gluten/Soy/Wheat,"Cream cheese (pasteurized cultured milk and cream, salt, stabilizer), pure cane sugar, eggs, sour cream (cultured cream. Contains less than 2% of whey, modified corn starch, sodium tripolyphosphate, guar gum, carrageenan, calcium sulfate, locust bean gum, potassium sorbate), vanilla extract, crumbs (graham cracker flour, enriched wheat flour, sugar, corn flour, palm oil, corn syrup, molasses, whey, honey, leavening, salt, artificial color, natural flavor, soy lecithin), butter, sugar, heavy cream, unsweetened chocolate. Produced in a facility that also uses wheat, dairy, eggs, tree nuts, peanuts, soybeans, and fish"
253,Lemon & Cream Shortcake,Harvest Bakery,Dinner,"Wednesday, February 02, 2022","['Vegetarian', 'Halal']",,N/A,N/A,N/A,N/A,N/A,"Dairy, Egg, Gluten, Peanuts, Soy, Soybean Oil, Tree Nuts, Wheat",
254,Belgian Waffle Bar,Pacific Fusion,Breakfast,"Thursday, February 03, 2022",['Vegetarian'],"Thick, golden brown waffle",1 waffle,226,9,29,7,"Egg, Alcohol (Vanilla Extract), Dairy, Gluten, Soy, Soybean Oil, Wheat",
255,Chicken Apple Sausage,Pacific Fusion,Breakfast,"Thursday, February 03, 2022",[],Sweet chicken sausage made with real apples,sausage,87.75,4.72,0.67,10.8,No Major Allergens,Chicken Apple Sausage
256,Scrambled Eggs,Pacific Fusion,Breakfast,"Thursday, February 03, 2022","['Vegetarian', 'Halal', 'Nourish']",Softly scrambled cage-free eggs,3 oz,131.74,8.95,0,11.11,Egg,"Cage-free eggs, canola oil"
257,Sticky Rice,Pacific Fusion,Breakfast,"Thursday, February 03, 2022","['Vegan', 'Halal']",Steamed white calrose rice,1/2 cup (3 oz),161.7,0.26,35.64,2.97,No Major Allergens,"White rice, water"
258,Scrambled Egg Whites,Pacific Fusion,Breakfast,"Thursday, February 03, 2022","['Vegetarian', 'Halal', 'Nourish']",,3.5 oz,95.1,5.18,0.78,10.15,Egg,"Cage-free egg whites, canola oil"
259,Tofu Scramble,Pacific Fusion,Breakfast,"Thursday, February 03, 2022","['Vegan', 'Halal', 'Nourish']","Scrambled firm tofu cooked with onions, bell peppers, and soy sauce.",3 oz,72.17,4.54,3.36,5.95,Soy/Gluten/Wheat,"Organic firm tofu (contains soy), yellow onion, red and green bell peppers, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), nutritional yeast, canola oil, garlic, ground turmeric"
260,Tater Tots,Pacific Fusion,Breakfast,"Thursday, February 03, 2022","['Vegan', 'Halal']",Crispy fried tater tots.,4 oz,279,20.27,21.33,1.86,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Tater tot potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], Contains less than 2% of dextrose, sea salt, disodium dihydrogen pyrophosphate), canola fryer oil"
261,Platform Hours 7am-10am,Pacific Fusion,Breakfast,"Thursday, February 03, 2022",[],,N/A,N/A,N/A,N/A,N/A,,
262,Southwestern Omelet,Go Live,Breakfast,"Thursday, February 03, 2022",[],"Fluffy omelet filled with ham, roasted pepper and onions, cheese, and our house Chipotle sour cream",1 SV,1161.33,113.66,3.52,36.34,Dairy/Egg,"Cage-free eggs, canola/olive oil blend, smoked deli ham (pork cured with water, salt, sugar, dextrose, sodium phosphate, sodium erythorbate, sodium nitrite), house Chipotle sour cream (Mexican sour cream [cultured cream. Contains less than 2% of whey, modified food starch {corn}, sodium tripolyphosphate, carrageenan, calcium sulfate, locust bean gum, guar gum, sat, gelatin, potassium sorbate], Chipotle Adobo pepper sauce [water, tomato paste, dried Chipotle peppers, distilled vinegar, corn oil. Contains 2% or less of iodized salt, corn starch, onion powder, garlic powder, spices]), milk yellow Cheddar cheese, red and green bell peppers, yellow onion"
263,Cheese Omelet,Go Live,Breakfast,"Thursday, February 03, 2022","['Vegetarian', 'Halal']",Fluffy egg omelet filled with Cheddar and Monterey Jack cheese with phesto sauce,1 EA,616.95,53.92,0.51,30.24,Dairy/Egg/Tree Nuts,"Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)"
264,Tater Tots,Go Live,Breakfast,"Thursday, February 03, 2022","['Vegan', 'Halal']",Crispy fried tater tots.,4 oz,279,20.27,21.33,1.86,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Tater tot potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], Contains less than 2% of dextrose, sea salt, disodium dihydrogen pyrophosphate), canola fryer oil"
265,House Roasted Salsa,Go Live,Breakfast,"Thursday, February 03, 2022","['Vegan', 'Halal', 'Nourish']","Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",2 tbsp,10.15,0.4,1.6,0.32,No Major Allergens,"Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt"
266,Eggs Fried to Order,Go Live,Breakfast,"Thursday, February 03, 2022","['Vegetarian', 'Halal', 'Nourish']","Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",each,71.5,4.75,0.36,6.28,Egg,Eggs
267,Vanilla Chia Seed Pudding with Blueberrries,Fresh Inspirations,Breakfast,"Thursday, February 03, 2022","['Vegan', 'Halal']","Vanilla chia seed pudding with blueberries, shredded coconut, and toasted almonds",1 SV,448.79,41.51,20.46,5.24,Tree Nuts/Coconut,"Coconut milk, chia seeds, beet sugar, imitation vanilla, blueberries, shredded sweetened coconut, blanched slivered almonds"
268,Housemade Granola,Fresh Inspirations,Breakfast,"Thursday, February 03, 2022","['Vegetarian', 'Halal', 'Nourish']",Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,1/2 cup,360.18,17.33,47.13,8.03,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
269,Chocolate Granola,Fresh Inspirations,Breakfast,"Thursday, February 03, 2022","['Vegetarian', 'Halal', 'Nourish']",,1/2 cup,345,18,41,9,"Gluten, Wheat, Dairy, Tree Nuts",
270,Fruit Salad,Fresh Inspirations,Breakfast,"Thursday, February 03, 2022","['Vegan', 'Halal', 'Nourish']",A delicious and nutritious blend of fresh fruit!, 1/2 Cup,42.3,0.64,9.79,0.49,No Major Allergens,"Cantaloupe, pineapple, red grapes, honeydew melon"
