,Name,Filters,Date,Mealtime,Location,Serving Size,Calories,Fat (g),Carbohydrates (g),Protein (g),Description,Allergens,Ingredients
251,Garlic Breadsticks,"['Vegetarian', 'Halal']","Wednesday, February 16, 2022",Dinner,Seasonality West, 1 breadstick, 100, 3.5, 15, 3,Golden brown breadsticks coated with a garlic herb oil and Parmesan cheese.,Dairy/Gluten/Soy/Wheat,"Breadstick (enriched flour, water, palm oil, sugar. Contains 2% or less of: salt, yeast, wheat gluten, dextrose, guar gum, ethoxylated mono- and diglycerides, wheat starch, datem, defatted soy flour, enzymes, monoglyceride, ascorbic acid, azodicarbonamide, calcium peroxide). Prepared with canola oil garlic spread (natural oil blend [soybean, palm fruit, palm kernel and/or canola], garlic, water, sweet cream, buttermilk, salt. Contains 2% or less of: spice, soy lecithin, mono- and diglycerides, onion powder, potassium sorbate and sodium benzoate, citric acid, natural and artificial flavor, vitamin A palmitate, beta carotene, lactic acid)"
252,Aloo Gobi,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Seasonality East, 1 bowl (8 oz), 166.36, 9.3, 19.78, 3.41,"Spicy potato and cauliflower curry featuring warm aromatic spices of turmeric, cumin, and garam masala",,"Red potatoes, cauliflower, yellow onion, tomatoes (tomatoes, tomato juice, sea salt, calcium chloride, citric acid), canola/olive oil blend, Garam Masala (spices, turmeric, canola oil), Serrano peppers, garlic, ginger, ground turmeric, kosher salt, whole cumin seed, fresh cilantro"
253,Fresh Aggie Bar,[],"Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 1 SV, -1, -1, -1, -1,"BYO bowl Aggie style with choice of protein, veggies and sauces",, 
254,Seasoned Pork,['Nourish'],"Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 3.5 oz, 71.76, 2.7, 2.96, 9.17,Pork seasoned with citrus and herbs,Alcohol,"Boneless pork butt prepared with Pepsi (carbonated water, sugar, caramel color, phosphoric acid, flavorings [including caffeine]), orange juice, red cooking wine, salt, garlic, ground black pepper, ground cumin, lemon juice, lime juice||"
255,Garlic and Onion Chicken,"['Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 3.5 oz, 227.43, 9.87, 3.65, 29.62,,,"Halal boneless skinless chicken, yellow onion, lemon juice, canola/olive oil blend, kosher salt, fresh Italian parsley, garlic, ground black pepper"
256,Cauliflower Rice,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 3 oz, 65.88, 5.19, 4.7, 1.82,Lightly seasoned cauliflower rice,,"Cauliflower, canola/olive oil blend, kosher salt"
257,Steamed White Rice,"['Vegan', 'Halal']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 3 oz, 138.54, 0, 30.97, 3.26,Steamed white rice,,"Long grain rice (enriched with iron, niacin, thiamin, folic acid)"
258,Roasted Broccoli,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 3 oz, 58.21, 4.02, 5.12, 2.16,Broccoli lightly seasoned and roasted,,"Broccoli, canola/olive oil blend, kosher salt, ground black pepper"
259,Sauteed Garlic Green Beans,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations,  3 oz, 49.27, 2.81, 6.02, 1.55,Fresh green beans sauteed with garlic and lightly seasoned,,"Green beans, canola/olive oil blend, garlic, kosher salt, ground black pepper"
260,Roasted Butternut Squash,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 3 oz, 74.19, 4.24, 10.02, 0.86,Butternut squash lightly seasoned and roasted,,"Butternut squash, canola/olive oil blend, kosher salt, ground black pepper"
261,Roasted Brussels Sprouts,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations,  3 oz, 68.43, 4.17, 7.26, 2.73,Brussels sprouts roasted and lightly seasoned,,"Brussels sprouts, canola/olive oil blend, kosher salt, ground black pepper"
262,Sauteed Yellow Squash,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 3 oz, 33.1, 2.48, 2.76, 0.71,Fresh yellow squash sauteed and lightly seasoned,,"Yellow squash, canola/olive oil blend, kosher salt, ground black pepper"
263,Chimmichurri Sauce,"['Vegan', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 127.91, 14.43, 0.82, 0.36,"An herby sauce with cilantro, parsley, garlic, and oregano to complement your dish",,"Canola/olive oil blend, fresh Italian parsley, fresh cilantro, red wine vinegar, garlic, Mediterranean oregano, crushed red pepper"
264,Mango Vinaigrette,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 120.23, 13.03, 2.31, 0.11,Sweet and tangy vinaigrette to complement your dish,,"Canola/olive oil blend, mango, lime juice, rice vinegar, agave nectar, kosher salt, crushed red pepper"
265,Tomatillo and Avocado Salsa,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 48.13, 4.83, 1.67, 0.34,House tomatillo & avocado salsa,,"Tomatillos, avocado, canola/olive oil blend, fresh cilantro, kosher salt"
266,Romaine Lettuce,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 1 cup, 7.99, 0.14, 1.55, 0.58,,,Fresh Romaine lettuce
267,Chia Seeds,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Fresh Inspirations, 2 tablespoons, 137.73, 8.71, 11.94, 4.69,,,Organic chia seeds
268,Chicken Ranch Sandwich,[],"Wednesday, February 16, 2022",Dinner,Tomato Street Grill, 1 SV, 1159.42, 83.43, 31.68, 73.5,"Grilled chicken sandwich with a tangy ranch sauce, sharp cheddar, and crispy bacon.",Dairy/Gluten/Soybean Oil/Wheat/Egg,"Halal boneless skinless chicken breast, bacon, corn-dusted Kaiser roll (contains wheat/gluten and soybean oil), yellow cheddar cheese, ranch dressing (contains dairy, soy, and egg), canola/olive oil blend, kosher salt, ground black pepper"
269,Black Bean Burger,"['Vegan', 'Halal']","Wednesday, February 16, 2022",Dinner,Tomato Street Grill, burger, 516.56, 40.49, 34.15, 6.78,"House-made vegan burger made of black beans, vegetables, and grains. Served with our vegan garlic aioli on a whole wheat bun.",Mushroom/Soy/Gluten/Wheat/Sesame/Soybean Oil,"VEGAN BLACK BEAN PATTY (southwest black beans [black beans, green bell peppers, yellow onions, tomato, Worcestershire sauce {water, molasses, salt, high fructose corn syrup, corn syrup, acetic acid, caramel color, hydrolyzed soy protein, gluten free flour (millet flour, potato starch, tapioca starch, rice flour, whole grain sorghum, xanthan gum), natural flavor, guar gum, sodium benzoate}, fresh cilantro, garlic, ground cumin, canola oil, dark chili powder, iodized salt, Tabasco sauce {distilled vinegar, red pepper, salt}, ground black pepper, Cayenne pepper, lime juice], Mexican rice [long grain white rice, tomato, canola oil, yellow onion, carrot, corn, green bell pepper, achiote paste {annatto seeds, vinegar, salt, water, granulated garlic, spiced, sodium benzoate, corn meal, corn flour, FD&C #40}, garlic powder, iodized salt, gluten-free vegetable soup base {reconstituted vegetable juice blend (water and concentrated juices of carrot, celery, tomato), maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor}, Cayenne pepper], sticky rice, canola/olive oil blend, yellow onion, garlic, organic rolled spelt flakes [contains wheat/gluten], thickener [modified corn starch, rice flour, corn oil. Made on equipment that also processes soy, wheat, and milk], Chipotle chili paste [water, dried Chipotle Morita chiles, salt, citric acid, potassium sorbate, sodium benzoate], iodized salt), VEGAN WHEAT BUN (stone ground whole wheat unbleached flour, yeast, sugar, sustainable palm shortening, salt, calcium propionate), HOUSE-MADE VEGAN LEMON GARLIC AIOLI (Kraft vegan mayonnaise [expeller-pressed canola oil, water, organic distilled vinegar. Contains less than 2% of salt, modified food starch, cane sugar, spice, natural flavor, lemon, oleoresin paprika], lemon, garlic), CANOLA/OLIVE OIL BLEND"
270,Shoestring Fries,"['Vegan', 'Halal']","Wednesday, February 16, 2022",Dinner,Tomato Street Grill, 3 oz, 201.6, 12, 21.13, 1.84,Crispy deep-fried thin cut potato fries,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Shoestring fries (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], modified food starch. Contains less than 2% of dextrose, leavening [sodium acid pyrophosphate, sodium bicarbonate], rice flour, salt, xanthan gum, disodium, dihydrogen pyrophosphate), canola fryer oil, seasoned salt (salt, onion powder, granulated garlic, ground paprika, sugar, white ground pepper)"
271,Peruvian Chicken Quinoa and Coriander Soup,[],"Wednesday, February 16, 2022",Dinner,Tomato Street Grill, 1/2 cup, 94.19, 4.18, 8.33, 6.42,For Passport to South America,,"Chicken, Water, Green Pea, Yellow Onion,Quinoa, Garlic, Green Chili Pepper, Chicken Soup Base, Salt, Cilantro, Pepper."
272,Miso Soup,['Vegan'],"Wednesday, February 16, 2022",Dinner,Tomato Street Grill, 1 cup, 82.63, 3.3, 10.94, 3.3,,Soy/Alcohol/Soybean Oil,"Yellow onion, white miso soup base (water, soybeans, rice, salt, alcohol), carrots, celery, zucchini squash, yellow squash, soybeans, kale, green onions, canola/olive oil blend, garlic, ginger, cornstarch, iodized salt"
273,Thick & Zesty Bean Chili,[],"Wednesday, February 16, 2022",Dinner,Tomato Street Grill, 1 cup, 253.64, 9.61, 27.94, 15.05,"Beef chili with kidney and pinto beans, and seasoned with aromatic spices",Mushroom,"Pinto beans (prepared pinto beans, water, salt, calcium chloride, calcium disodium EDTA), ground beef, red kidney beans, yellow onion, green chili peppers (green chiles, salt, citric acid, calcium chloride), cornstarch, tomato paste, red wine vinegar (red wine vinegar, water, potassium metabisulfite), gluten-free vegetable soup base (reconstituted vegetable juice blend [water and concentrated juices of carrot, celery, tomato], maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor), salt, dark chili powder, garlic, Jalapeno peppers, ground black pepper, cumin, cayenne pepper"
274,Seasonal Student Farm Roasted Vegetable Salad,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Tomato Street Grill, 1/2 cup, 108.59, 4.32, 14.96, 2.59,"Pasta salad featuring roasted student farm vegetables, house tomato vinaigrette, and local torchiette pasta",Gluten/Wheat,"Torchiette pasta noodles (durum wheat flour [durum wheat, niacin, ferrous sulfate, thiamin mononitrate, riboflavin, folic acid], annatto. Prepared in canola oil), assorted UC Davis Student Farm vegetables, house tomato basil vinaigrette (canola/olive oil blend, tomato, rice vinegar, beet sugar, fresh basil, iodized salt, garlic, ground black pepper)"
275,Red Skin Potato Salad with Eggs,"['Vegetarian', 'Halal']","Wednesday, February 16, 2022",Dinner,Tomato Street Grill,  1/2 cup, 230.01, 13.01, 24, 3,,Egg/Soybean Oil,"Red potatoes, mayonnaise (soybean oil, water, egg yolks, vinegar, high fructose corn syrup, salt, spice, calcium disodium EDTA), sweet relish (cured cucumbers, high fructose corn syrup, vinegar, salt, xanthan gum, sodium benzoate, celery seed, mustard seed, alum, dehydrated red bell pepper, natural flavoring, turmeric, dehydrated onion, blue #1, polysorbate 80, calcium chloride), water, hard cooked eggs, celery, red bell pepper, green bell pepper, mustard (distilled vinegar, water, mustard seed, salt, turmeric, paprika, spice, garlic powder), onion, sugar, vinegar, green onion, salt, spices, potassium sorbate, sodium benzoate, modified corn starch, dried chives, xanthan gum"
276,Classic California Pasta Salad,"['Vegan', 'Halal']","Wednesday, February 16, 2022",Dinner,Tomato Street Grill, 1 serving, 140, 4, 22, 4,,Gluten/Soybean Oil/Wheat,"Tri-color rotini (durum wheat semolina, tomato solids, dried spinach, enriched with iron, niacin, thiamin mononitrate, riboflavin, folic acid), water, red bell pepper (bell peppers, water, citric acid), sugar, zucchini, celery, vinegar, carrots, soybean oil, onion, salt, xanthan gum, modified corn starch, potassium sorbate, sodium benzoate, celery seed, garlic powder"
277,CHEF CHOICE SALAD,[],"Wednesday, February 16, 2022",Dinner,Tomato Street Grill, 1 EA, -1, -1, -1, -1,,,
278,Caesar Salad,['Halal'],"Wednesday, February 16, 2022",Dinner,Tomato Street Grill, 1 SV, 501.86, 41.48, 23.93, 15.54,"Traditional Caesar salad with Romaine lettuce, Parmesan cheese, croutons, and Caesar dressing",Dairy/Gluten/Soybean Oil/Tree Nuts/Wheat/Egg/Fish/Soy,"Romaine lettuce, Tuscan Caesar dressing (soybean oil, water, high fructose corn syrup, Parmesan and Romano cheese [pasteurized cultured milk, salt, enzymes], distilled vinegar, egg yolk, salt. Contains less than 1.5% of anchovy paste [anchovies, salt, defatted soy flour, water], dried garlic, mustard, citric acid, spice, xanthan gum, potassium sorbate, sodium benzoate, calcium disodium EDTA, dried onion, lemon juice concentrate, lactic acid, disodium inosinate, disodium guanylate, extractives of turmeric, caramel color, artificial flavor), Parmesan cheese, cheesy garlic croutons (enriched flour [wheat flour, malted barley flour, niacin, reduced iron, thiamin mononitrate, riboflavin, folic acid], canola and/or sunflower oil, high fructose corn syrup, Romano cheese powder [pasteurized part skim cow`s milk, cheese culture, salt, enzyme], whey, buttermilk solids, maltodextrin, salt, sodium citrate, yeast. Contains 2% or less of salt, garlic powder, partially hydrogenated soybean oil, whey powder, sorbic acid, Romano and Parmesan cheese flavor [whey, sunflower oil, maltodextrin, Parmesan cheese {pasteurized part skim milk, cheese culture, salt, enzymes}, salt, enzyme-modified Romano cheese {pasteurized cow`s milk, culture, salt, enzymes} salt], yeast extract, citric acid, lactic acid, sodium phosphate, buttermilk powder, parsley flakes, calcium propionate, spices, soybean oil, natural flavors, rosemary extractives, extractives of turmeric and annatto, TBHQ. Per manufacturer, may contain tree nuts)"
279,Caponata,['Vegan'],"Wednesday, February 16, 2022",Dinner,Tomato Street Grill,  2 tablespoons, 9.79, 0.21, 1.48, 0.27,"Made from chopped eggplant, peppers, tomato, onion, garlic, olives, and fresh basil.",Mushroom/Alcohol,"House-made marinara sauce (canned tomatoes [vine-ripened tomatoes, tomato juice. Contains less than 2% of calcium chloride, citric acid], canned crushed tomatoes [vine ripened tomatoes, tomato puree, salt, citric acid], tomato paste, yellow onion, red cooking wine, gluten-free vegetable broth [reconstituted vegetable juice blend {water and concentrated juices of carrot, celery, tomato}, maltodextrin, salt, sugar, onion juice concentrate, yeast extract, cabbage juice, garlic powder, mushroom extract, spice, natural flavor], canola oil, cornstarch, garlic, beet sugar, whole fennel seed, Italian seasoning [marjoram, thyme, rosemary, savory, sage, oregano, and basil], ground black pepper, Mediterranean oregano, basil), tomato, eggplant, stuffed Queen olives (Queen olives, water, salt, citric acid, minced pimiento, sodium alginate, guar gum. May contain pits) green bell pepper, red onion, pitted olives (ripe olives, water, salt, ferrous gluconate), garlic, canola/olive oil, nonpareil capers (capers, water, salt, vinegar), red wine vinegar (red wine vinegar, water, potassium metabisulfite), beet sugar, iodized salt, ground black pepper, fresh basil, fresh Italian parsley"
280,Edamame Hummus,"['Vegan', 'Halal', 'Nourish']","Wednesday, February 16, 2022",Dinner,Tomato Street Grill, 2 tbsp, 54.8, 4.15, 2.36, 2.74,"Garbanzo beans blended with edamame, olive oil, lemon juice, garlic, and tahini",Soy/Sesame,"Edamame (soy) beans, lemon juice, tahini paste (ground hulled sesame seeds), spinach, extra virgin olive oil, iodized salt, garlic, ground cumin"
281,Coconut Cream Cake,['Vegetarian'],"Wednesday, February 16, 2022",Dinner,Harvest Bakery, N/A, N/A, N/A, N/A, N/A,,"Dairy, Egg, Gluten, Soy, Soybean Oil, Wheat",
282,Brownies,"['Vegetarian', 'Halal']","Wednesday, February 16, 2022",Dinner,Harvest Bakery, N/A, N/A, N/A, N/A, N/A,,"Dairy, Egg, Gluten, Soy, Soybean Oil, Wheat",
283,Vegan Oatmeal Raisin Cookie,['Vegan'],"Wednesday, February 16, 2022",Dinner,Harvest Bakery, 1 cookie, 177, 6.1, 41, 3,,Alcohol [vanilla extract]/Gluten/Wheat,"Oatmeal, organic evaporated cane sugar, California raisins, unbleached wheat flour, sustainable RSPO palm oil shortening, grape juice, rice dextrins, pure vanilla extract, cinnamon, sea salt, baking soda"
284,Deli Bar,[],"Wednesday, February 16, 2022",Dinner,Saucey, 1 EA, -1, -1, -1, -1,"Assorted Meats and Cheeses with your favorite spreads, breads and veggies",,
285,Breakfast Burrito Bar,[],"Thursday, February 17, 2022",Breakfast,Tomato Street Grill, self select, -1, -1, -1, -1,"Simple breakfast burrito base filled with eggs, cheese, and customizable toppings",All major allergens,Placeholder] - all major allergens;
286,Shredded Chicken,"['Halal', 'Nourish']","Thursday, February 17, 2022",Breakfast,Tomato Street Grill, 3.5 oz, 195.65, 6.57, 0.57, 31.43,Tender chicken shredded and seasoned with our house fajita blend.,,"Boneless skinless halal chicken thighs, house fajita seasoning (seasoned salt [salt, ground paprika, granulated garlic, onion powder, ground white pepper, sugar], sugar, ground cumin, lemon pepper seasoning [salt, spices [including black pepper], citric acid, onion, sugar, garlic, calcium stearate, silicon dioxide, calcium silicate, lemon oil, riboflavin])"
287,Pinto Beans,"['Vegan', 'Halal']","Thursday, February 17, 2022",Breakfast,Tomato Street Grill, 3.5 oz, 79.96, 1.39, 14.31, 4.74,"Pinto beans cooked with bell peppers, onions, and spices",,"Canned pinto beans (prepared pinto beans, water, salt, calcium chloride, calcium disodium EDTA), reserved liquid from canned beans, green bell peppers, yellow onion, canola oil, garlic, iodized salt, fresh basil, dark chili powder, ground black pepper, ground cumin, paprika, thyme, Mediterranean oregano, lemon juice, fresh cilantro"
288,Corn & Butter Rice,"['Vegan', 'Halal']","Thursday, February 17, 2022",Breakfast,Tomato Street Grill, 1/2 cup (3.5 oz), 94.82, 2.44, 16.45, 1.49,"Long grain rice cooked with butter, soy sauce and corn","Soy, Dairy, Wheat, Gluten","Vgetable broth (vegetables [onions, celery, carrots], maltodextrin, sugar, autolyzed yeast extract, onion powder, salt, water, corn oil, potassium chloride, carrot powder, modified tapioca starch, carrot juice concentrate, tomato paste, garlic powder, disodium guanylate, disodium inosinate, natural flavor, potassium sorbate, citric acid, extractives of paprika), long grain white rice, tomato, yellow onion, carrot, corn, green bell pepper, canola oil, Achiote paste (Annatto seeds, vinegar, salt, water, granulated garlic, spices, sodium benzoate, corn meal, corn flour, FD&C #40), celery, garlic powder, iodized salt, ground black pepper"
289,House Roasted Salsa,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Breakfast,Tomato Street Grill, 2 tbsp, 12.55, 0.5, 1.98, 0.4,"Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",,"Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt"
290,Sour Cream,"['Vegetarian', 'Halal']","Thursday, February 17, 2022",Breakfast,Tomato Street Grill, 2 Tablespoons, 60, 5, 2, 1,,Dairy,"Cultured cream. Contains less than 2% of modified corn starch, sodium tripolyphosphate, carrageenan, locust bean gum, guar gum, potassium sorbate"
291,Have a TERRIFC Thursday!,[],"Thursday, February 17, 2022",Breakfast,Saucey Saute, N/A, N/A, N/A, N/A, N/A,,,
292,Flour Tortilla,"['Vegan', 'Halal']","Thursday, February 17, 2022",Breakfast,Saucey Saute, 1 tortilla, 210, 4.5, 36, 5,,Gluten/Soybean Oil/Wheat,"Enriched bleached flour (flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, vegetable shortening (interesterified and hydrogenated soybean oils). Contains 2% or less of salt, baking soda, sodium acid pyrophosphate, distilled monoglycerides, enzymes, cellulose gum, fumaric acid, calcium propionate, sorbic acid"
293,Tater Tots,"['Vegan', 'Halal']","Thursday, February 17, 2022",Breakfast,Tomato Street Grill, 4 oz, 279, 20.27, 21.33, 1.86,Crispy fried tater tots.,Soybean Oil/*Ingredient prepared in a fryer that`s not allergen-free,"Tater tot potatoes (potatoes, vegetable oil [soybean, canola, cottonseed, and/or sunflower], Contains less than 2% of dextrose, sea salt, disodium dihydrogen pyrophosphate), canola fryer oil"
294,House Roasted Salsa,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Breakfast,Tomato Street Grill, 2 tbsp, 12.55, 0.5, 1.98, 0.4,"Spicy chili peppers and Russell Ranch tomatoes roasted with garlic and onion, garnished with fresh cilantro",,"Green Jalapeno pepper, yellow onion, Russel Ranch tomatoes, red Fresno peppers, Habanero peppers, fresh cilantro, garlic, canola oil, iodized salt"
295,Scrambled Egg Whites,"['Vegetarian', 'Halal', 'Nourish']","Thursday, February 17, 2022",Breakfast,Tomato Street Grill, 3.5 oz, 95.1, 5.18, 0.78, 10.15,,Egg,"Cage-free egg whites, canola oil"
296,Tofu Scramble,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Breakfast,Seasonality East, 3.5 oz, 84.9, 5.34, 3.96, 7,"Scrambled firm tofu cooked with onions, bell peppers, and soy sauce.",Soy/Gluten/Wheat,"Organic firm tofu, yellow onion, red and green bell peppers, Kikkoman soy sauce (water, soybeans, wheat, salt, sodium benzoate), nutritional yeast, canola oil, garlic, ground turmeric"
297,Eggs Fried to Order,"['Vegetarian', 'Halal', 'Nourish']","Thursday, February 17, 2022",Breakfast,Seasonality East, each, 71.5, 4.75, 0.36, 6.28,"Consuming raw or undercooked eggs may increase risk of foodborne illness, especially for those with certain medical conditions",Egg,Eggs
298,Mushroom and Tomato Omelet,['Vegetarian'],"Thursday, February 17, 2022",Breakfast,Seasonality East, 1 SV, 742.19, 66.36, 7.27, 31.16,"Fluffy omelet with roasted tomatoes, mushrooms, crumbled Feta cheese, and our walnut-arugula ""phesto""",Egg/Mushroom/Dairy/Alcohol/Tree Nuts,"Cage-free eggs, Sherry tomatoes (cherry tomatoes, canola/olive oil blend, kosher salt, Sherry cooking wine [wine, water, neutral spirits, salt, high fructose corn syrup, tartaric acid, caramel color, citric acid, potassium sorbate, potassium metabisulfite], ground black pepper), Balsamic-marinated mushrooms (Crimini mushrooms, Portobello mushrooms, canola/olive oil blend, Balsamic vinegar, fresh rosemary, Shiitake mushrooms, kosher salt, ground black pepper), Feta cheese, canola/olive oil blend, house arugula phesto"" (canola/olive oil blend, wild arugula, fresh basil, walnuts, garlic, salt, lemon juice, ground black pepper)"""
299,Barbacoa Omelet,[],"Thursday, February 17, 2022",Breakfast,Seasonality West, 1 SV, 1183.36, 113.42, 5.74, 42.11,"Fluffy egg omelet stuffed with barbacoa beef, Gouda cheese, and roasted onions & peppers",Egg/Tree Nuts/Dairy,"Cage-free eggs, canola/olive oil blend, Barbacoa beef (beef shoulder, yellow onion, apple cider vinegar, dried Anaheim chile, garlic, salt, dark chili powder, cumin, ground black pepper, cloves, Mediterranean oregano, thyme), smoked Gouda cheese, house-made roasted yellow pepper phesto"" (yellow bell pepper, extra virgin olive oil, walnuts, fresh basil, garlic, kosher salt, crushed red pepper), red and green bell peppers, yellow onion"""
300,Cheese Omelet,"['Vegetarian', 'Halal']","Thursday, February 17, 2022",Breakfast,Seasonality West, 1 EA, 616.95, 53.92, 0.51, 30.24,Fluffy egg omelet filled with Cheddar and Monterey Jack cheese,Dairy/Egg,"Cage-free eggs, canola/olive oil blend, mild yellow Cheddar cheese (pasteurized milk, cheese culture, salt, enzymes, annatto, potato starch, corn starch, powdered cellulose), Monterey Jack cheese (pasteurized milk, cheese culture, salt, enzymes, potato starch, corn starch and powdered cellulose)"
301,Vanilla Chia Seed Pudding with Blueberrries,"['Vegan', 'Halal']","Thursday, February 17, 2022",Breakfast,Seasonality West, 1 serving, 392.93, 36.34, 17.91, 4.59,"Vanilla chia seed pudding with blueberries, shredded coconut, and toasted almonds",Tree Nuts/Coconut,"Coconut milk, chia seeds, beet sugar, imitation vanilla (water, vanillin, caramel color, propylene glycol, ethyl vanillin, potassium sorbate), blueberries, shredded sweetened coconut (desiccated coconut processed with sugar, water, propylene glycol, salt, sodium metabisulfite), blanched slivered almonds"
302,Housemade Granola,"['Vegetarian', 'Halal', 'Nourish']","Thursday, February 17, 2022",Breakfast,Seasonality West, 1/2 cup, 360.18, 17.33, 47.13, 8.03,Crunchy and sweet granola made with mixed nuts and old fashioned rolled oats,Gluten/Wheat/Dairy/Peanuts/Tree Nuts,"Old fashioned rolled oats (per manufacturer, may contain wheat/gluten), sunflower seeds, seedless raisins, unsalted butter, pure clover honey, peanut-free mixed nuts (cashews, almonds, sunflower oil and/or cottonseed oil, pecans, hazelnuts, dried Brazil nuts, salt), light brown beet sugar, molasses"
303,Fruit Salad,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Breakfast,Saucey,  1/2 Cup, 42.3, 0.64, 9.79, 0.49,A delicious and nutritious blend of fresh fruit!,,"Cantaloupe, pineapple, red grapes, honeydew melon"
304,Oatmeal,"['Vegan', 'Halal', 'Nourish']","Thursday, February 17, 2022",Breakfast,Fresh Inspirations, 7 oz, 105.04, 1.94, 18.85, 3.6,Hot old-fashioned rolled oats (may contain wheat/gluten),Gluten/Wheat,"Whole grain oats (per manufacturer, may contain wheat/gluten) cooked in water and a pinch of salt."
305,Hard Boiled Eggs,"['Vegetarian', 'Halal', 'Nourish']","Thursday, February 17, 2022",Breakfast,Fresh Inspirations, 1 each, 71.5, 4.76, 0.36, 6.28,"Cage-free, hard boiled eggs",Egg,Cage free eggs
306,Sticky Rice,"['Vegan', 'Halal']","Thursday, February 17, 2022",Breakfast,Fresh Inspirations, 1/2 cup (3 oz), 161.7, 0.26, 35.64, 2.97,Steamed white calrose rice,,"White rice, water"
307,Mini Sesame Bagel,"['Vegan', 'Halal']","Thursday, February 17, 2022",Breakfast,Harvest Bakery, 1 bagel, 400, 4.99, 73, 14,"Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy",Gluten/Sesame/Soybean Oil/Wheat,"Enriched unbleached flour (wheat flour, malted barley flour, niacin, reduced iron, thiamine mononitrate, riboflavin, folic acid), water, brown sugar, malt (corn syrup, malt syrup), salt, enzyme (wheat flour, enzymes, ascorbic acid), yeast (yeast, sorbitan monostearate, ascorbic acid), dough improver (wheat flour, monoglycerides, ascorbic acid. Contains 2% or less of enzymes, soybean oil), vinegar, sesame seeds. Per manufacturer, produced in a facility that also uses dairy, eggs, fish, tree nuts, peanuts, wheat, and soy"
308,Carrot Bread with Raisins,['Vegetarian'],"Thursday, February 17, 2022",Breakfast,Saucey, 1 slice, 141.82, 7.27, 17.82, 1.82,"(may contain: peanuts, tree nuts)",Coconut/Dairy/Egg/Gluten/Soy/Wheat,"Sugar, Enriched Wheat Flour Bleached (Flour, Niacin, Reduced Iron, Thiamine Mononitrate, Riboflavin, Folic Acid), Food Starch-Modified, Soybean Oil, Dry Whey [milk], Leavening (Sodium Aluminum Phosphate, Baking Soda), Salt, Vital Wheat Gluten, Propylene Glycol Mono & Diglycerides of Fatty Acids, Mono & Diglycerides, Sodium Stearoyl Lactylate, Dextrose, Corn Starch, Tricalcium Phosphate, Soya Flour, Dry Whole Eggs, Natural and Artificial Flavor, Water, Ascorbic Acid (Dough Conditioner), Alpha Tocopherol as Preservative, Citric Acid, Eggs, Soybean Salad Oil, Carrots, Raw, Raisins, Seedless, Coconut (Desiccated Coconut, Powder Sugar, Water, Propylene Glycol, Salt), Potassium Sorbate"
